model,version,B_MCQ,n_B_MCQ,hits_B_MCQ,vs7_B_MCQ,B_Oth,n_B_Oth,hits_B_Oth,vs7_B_Oth,B_All,n_B_All,hits_B_All,vs7_B_All,S_MCQ,n_S_MCQ,hits_S_MCQ,vs7_S_MCQ,S_Oth,n_S_Oth,hits_S_Oth,vs7_S_Oth,S_All,n_S_All,hits_S_All,vs7_S_All,BS_MCQ,n_BS_MCQ,hits_BS_MCQ,vs7_BS_MCQ,BS_Oth,n_BS_Oth,hits_BS_Oth,vs7_BS_Oth,BS_All,n_BS_All,hits_BS_All,vs7_BS_All
qwen,SCI7,27.04,1084,293.1136,0.0,29.66,330,97.878,0.0,27.65,1414,390.971,0.0,47.22,275,129.855,0.0,45.98,309,142.0782,0.0,46.54,584,271.7936,0.0,29.61,1260,373.086,0.0,36.84,512,188.6208,0.0,31.72,1772,562.0784,0.0
qwen,grec_oth_tc_energy,42.9,1084,465.0,15.86,24.55,330,81.0,-5.11,38.61,1414,546.0,10.96,46.18,275,127.0,-1.04,44.01,309,136.0,-1.97,45.03,584,263.0,-1.51,42.7,1260,538.0,13.09,33.98,512,174.0,-2.86,40.18,1772,712.0,8.46
qwen,grec_oth_vc_residual,42.9,1084,465.0,15.86,27.27,330,90.0,-2.39,39.25,1414,555.0,11.6,46.18,275,127.0,-1.04,48.22,309,149.0,2.24,47.26,584,276.0,0.72,42.7,1260,538.0,13.09,36.33,512,186.0,-0.51,40.86,1772,724.0,9.14
qwen,grec_oth_grec_energy,42.9,1084,465.0,15.86,28.79,330,95.0,-0.87,39.6,1414,560.0,11.95,46.18,275,127.0,-1.04,49.19,309,152.0,3.21,47.77,584,279.0,1.23,42.7,1260,538.0,13.09,37.11,512,190.0,0.27,41.08,1772,728.0,9.36
qwen,grec_oth_grec_score,42.9,1084,465.0,15.86,19.7,330,65.0,-9.96,37.48,1414,530.0,9.83,46.18,275,127.0,-1.04,44.01,309,136.0,-1.97,45.03,584,263.0,-1.51,42.7,1260,538.0,13.09,31.84,512,163.0,-5.0,39.56,1772,701.0,7.84
